Variable / Field Name,Field Label,Field Note,
datasetid,Dataset ID,Penn Battery Unique Record Number,
bblid,BBLID,Penn Participant Number,
date_of_cnb,Date of CNB,,
age_at_cnb,Age at CNB,,
battery_complete,Battery Complete?,Completion Status of the Penn Battery,
battery_valid,Battery Valid Code Original,Penn Battery Valid Code Original (as entered by assessor),
adt_genus,Test Form for ADT,ADT: Penn Age Differentiation Test Genus,
adt_valid,ADT Original Valid Code,"ADT: Penn Age Differentiation Test Valid Code, by genus",
adt_a,Total Correct Age Differentiation Test Trials,"ADT: Total Correct Responses for All Test Trials, by genus",
adt_t,Median Response Time for Correct Age Differentiation Test Trials,"ADT: Median Response Time for All Test Trials , by genus ",
adt_same_cr,Correct Responses for Age Differentiation Test No Difference Trials,"ADT: Number of Correct Responses to Test Trials with No Age Difference, by genus",
adt_same_rtcr,Median Response Time for Correct Age Differentiation Test No Difference Trials,"ADT: Median Response Time for Correct Responses for Test Trials with No Age Difference, by genus",
adt_pc,Percent of Correct Responses for All Test Trials,"ADT: Percent of Correct Responses for All Test Trials, by genus",
adt_same_pc,Percent of Correct Responses for No Difference Responses,"ADT: Percent Correct Responses to Test Trials with No Age Difference, by genus",
cpf_genus,Test Form for CPF,CPF: Penn Face Memory Test Genus,pfmt
cpf_valid,CPF Original Valid Code,CPF: Penn Face Memory Test Valid Code,
cpf_tp,CPF True Positives,CPF: Number of Correct Responses to Target Faces (TP),
cpf_tn,CPF True Negatives,CPF: Number of Correct Responses to Foil Faces (TN) ,
cpf_fp,CPF False Positives,CPF: Number of Incorrect Responses to Foil Faces (FP),
cpf_fn,CPF False Negatives,CPF: Number of Incorrect Responses to Target Faces (FN),
cpf_tprt,CPF True Positives Median Response Time (ms),CPF: Median Response Time for Correct Responses to Target Faces (TP) ,
cpf_tnrt,CPF True Negatives Median Response Time (ms),CPF: Median Response Time for Correct Responses to Foil Faces (TN) ,
cpf_fprt,CPF False Positives Median Response Time (ms),CPF: Median Response Time for Incorrect Responses to Foil Faces (FP) ,
cpf_fnrt,CPF False Negatives Median Response Time (ms),CPF: Median Response Time for Incorrect Responses to Target Faces (FN) ,
cpf_ifac_tot,CPF Total Correct Responses,CPF: Total Correct Responses for All Test Trials,
cpf_ifac_rtc,CPF Median Total Correct Response Time (ms),CPF: Median Response Time for Total Correct Test Trial Responses ,
er40_genus,Test Form for ER40,ER40: Penn Emotion Identification Test Genus,peit
er40_valid,ER40 Original Valid Code,"ER40: Penn Emotion Identification Test Valid Code, by genus",
er40_cr,ER40 Correct Responses,"ER40: Total Correct Responses for All Test Trials, by genus",
er40_crt,ER40 Correct Responses Median Response Time (ms),"ER40: Median Response Time for Total Correct Test Trial Responses, by genus",
er40_ang,ER40 Correct Anger Identifications,"ER40: Number of Correct Responses to Anger Trials, by genus",
er40_fear,ER40 Correct Fear Identifications,"ER40: Number of Correct Responses to Fear Trials, by genus",
er40_hap,ER40 Correct Happy Identifications,"ER40: Number of Correct Responses to Happy Trials, by genus",
er40_noe,ER40 Correct No Emotion Identifications,"ER40: Number of Correct Responses to Neutral Trials, by genus",
